ID,EGRID,Nummer,BFSNr,Check_EGRID,Flaeche,parcel_area_m2,Bemerkung
TEST-00533,CH167922407261,576,1375.0,EGRID in AV gefunden,768.0,768.4007390018027,
TEST-00754,CH679177599971,AL3917,261.0,EGRID in AV gefunden,278.0,278.25890900490873,
TEST-00862,CH174978638213,1843,2773.0,EGRID in AV gefunden,2008.0,2007.8262019852307,
TEST-00343,CH413088528970,9604,6023.0,EGRID in AV gefunden,148.0,147.98081650333194,
TEST-00520,CH530298076421,267,5131.0,EGRID in AV gefunden,1411.0,1411.1548759933214,
TEST-00757,CH627886875923,F0667,3203.0,EGRID in AV gefunden,1501.0,1500.619949998844,
TEST-00748,CH108507020225,659,5072.0,EGRID in AV gefunden,2687.0,2686.862604496365,
TEST-00904,CH910722029496,165,5226.0,EGRID in AV gefunden,49.0,49.13530950162977,
TEST-00297,CH135212302239,1073,6009.0,EGRID in AV gefunden,2178.0,2177.7908629968333,
TEST-00498,CH130285074601,1451,,EGRID in AV gefunden,555.0,557.7468990016882,
TEST-00647,CH627786748563,1905,3273.0,EGRID in AV gefunden,1850.0,1849.7273585020635,
TEST-00554,CH443052766605,2394,6152.0,EGRID in AV gefunden,16232.0,16232.417843048579,
TEST-00242,CH567108547825,26,2920.0,EGRID in AV gefunden,259.0,259.24797099396056,
